date,counts,total_passenger,total_amount,total_tips,total_dist,avg_dist
2018-07-13,292,576,18769.84,1466.7,5362.68,18.302662116
2018-11-14,303,529,20487.77,2262.42,5511.46,18.070360656
2018-12-29,237,454,14816.28,975.36,4381.88,18.334225941
2018-06-23,272,527,17107.18,1413.96,5193.63,19.024285714
2018-09-20,342,605,22498.24,1995.37,6299.3,18.365306122
2018-03-26,306,1098,40234.52,3767.48,11219.12,18.27218241
2018-08-28,288,530,18768.29,1653.67,5243,18.204861111
2018-01-06,273,525,17803.92,1810.71,5152.54,18.804890511
2018-08-17,292,586,18752.31,1299.07,5347.32,18.250238908
2018-07-02,291,543,18363.35,1038.07,5317.51,18.273230241
2018-05-12,319,523,20073.62,1738.4,6154.82,19.294106583
2018-04-23,397,689,26690.91,2990.1,7249.27,18.260125945
2018-10-25,340,665,22269.51,1913.67,6246.55,18.372205882
2018-08-31,312,598,20013.28,1453.43,5728.69,18.361185897
2018-06-13,270,490,17744.96,1625.98,4950.77,18.268523985
2018-01-16,278,488,18437.55,1903.79,5058.36,18.130322581
2018-10-04,343,610,22575.74,2178.45,6255.26,18.236909621
2018-08-19,256,483,16380.41,1482.53,4772.34,18.569416342
2018-12-08,206,343,13074.61,1046.88,3782.24,18.36038835
2018-12-30,185,334,11633.87,917.71,3378.11,18.260054054
2018-02-12,341,632,22321.65,2340.93,6188.29,18.147478006
2018-10-24,316,578,20987.71,2072.53,5770.07,18.202113565
2018-11-15,249,459,16394.77,1591.42,4585.81,18.34324
2018-10-15,392,664,26297.58,2874.16,7114.33,18.14880102
2018-06-24,354,614,22597.07,2273.89,6729.43,18.902893258
2018-12-18,243,479,15623.19,1158.97,4508.19,18.40077551
2018-04-05,294,564,18961.43,1537.06,5367.38,18.256394558
2018-11-27,321,590,21764.55,2377.16,5960.03,18.338553846
2018-08-30,299,555,19452.87,1614.21,5440.47,18.1349
2018-07-04,201,407,12582.3,907.98,3652.4,18.171144279
2018-10-03,345,626,22930.85,2334.86,6333.41,18.14730659
2018-11-28,298,542,19691.27,2070.56,5501.83,18.462516779
2018-05-24,315,532,20319.49,1515.91,5765.55,18.303333333
2018-09-22,319,625,20420.72,1830.04,5828.86,18.272288401
2018-07-15,346,623,22546.44,2302.9,6408.48,18.415172414
2018-02-24,201,343,12748.01,1127.18,3841.78,19.113333333
2018-07-27,272,549,17687.22,1414.65,4980.22,18.242564103
2018-07-25,291,518,19119.9,1816.54,5294.59,18.194467354
2018-07-03,203,380,12937,895.63,3719.88,18.32453202
2018-09-21,341,651,22156,1882.04,6275.41,18.295655977
2018-04-24,348,627,23194.73,2408.88,6381.65,18.285530086
2018-01-27,167,301,10572.61,947.37,3224.5,19.308383234
2018-04-25,397,691,26325.31,2613.53,7276.42,18.328513854
2018-09-23,412,676,26880.97,2900.54,7597.66,18.44092233
2018-06-25,423,781,28038.02,2945.41,7749.23,18.276485849
2018-01-17,239,421,15568.55,1473.07,4331.96,18.125355649
2018-09-11,316,525,21407.55,2472.53,5755.63,18.156561514
2018-02-14,243,443,16198.62,1711.71,4448.07,18.304814815
2018-08-18,256,496,15847.04,1012.48,4781.38,18.677265625
2018-02-25,270,452,17590.47,1929.01,5163.91,19.125592593
2018-01-26,228,377,15021.18,1404.1,4194.72,18.317554585
2018-02-08,284,545,18134.15,1315.8,5161.89,18.175669014
2018-01-19,244,455,15686.25,1218.47,4488.95,18.397336066
2018-01-10,219,387,14326.72,1353.73,4029.71,18.400502283
2018-08-25,247,479,15621.32,1140.58,4611.5,18.520080321
2018-12-25,173,378,10885.24,818.78,3185.24,18.305977011
2018-08-05,280,507,17719.81,1412.99,5156.6,18.35088968
2018-07-01,239,464,14915.44,1075.84,4369.6,18.282845188
2018-07-14,291,621,18311.03,1353.2,5410.41,18.52880137
2018-12-31,42,72,2693.4,200.9,767.1,18.264285714
